	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute
0		2022	1	1	0	0
1		2022	1	1	1	0
2		2022	1	1	2	0
3		2022	1	1	3	0
4		2022	1	1	4	0
5		2022	1	1	5	0
6		2022	1	1	6	0
7		2022	1	1	7	0
8		2022	1	1	8	0
9		2022	1	1	9	0
10		2022	1	1	10	0
11		2022	1	1	11	0
12		2022	1	1	12	0
13		2022	1	1	13	0
14		2022	1	1	14	0
15		2022	1	1	15	0
16		2022	1	1	16	0
17		2022	1	1	17	0
18		2022	1	1	18	0
19		2022	1	1	19	0
20		2022	1	1	20	0
21		2022	1	1	21	0
22		2022	1	1	22	0
23		2022	1	1	23	0
24		2022	1	2	0	0
25		2022	1	2	1	0
26		2022	1	2	2	0
27		2022	1	2	3	0
28		2022	1	2	4	0
29		2022	1	2	5	0
30		2022	1	2	6	0
31		2022	1	2	7	0
32		2022	1	2	8	0
33		2022	1	2	9	0
34		2022	1	2	10	0
35		2022	1	2	11	0
36		2022	1	2	12	0
37		2022	1	2	13	0
38		2022	1	2	14	0
39		2022	1	2	15	0
40		2022	1	2	16	0
41		2022	1	2	17	0
42		2022	1	2	18	0
43		2022	1	2	19	0
44		2022	1	2	20	0
45		2022	1	2	21	0
46		2022	1	2	22	0
47		2022	1	2	23	0
48		2022	1	3	0	0
49		2022	1	3	1	0
50		2022	1	3	2	0
51		2022	1	3	3	0
52		2022	1	3	4	0
53		2022	1	3	5	0
54		2022	1	3	6	0
55		2022	1	3	7	0
56		2022	1	3	8	0
57		2022	1	3	9	0
58		2022	1	3	10	0
59		2022	1	3	11	0
60		2022	1	3	12	0
61		2022	1	3	13	0
62		2022	1	3	14	0
63		2022	1	3	15	0
64		2022	1	3	16	0
65		2022	1	3	17	0
66		2022	1	3	18	0
67		2022	1	3	19	0
68		2022	1	3	20	0
69		2022	1	3	21	0
70		2022	1	3	22	0
71		2022	1	3	23	0
72		2022	1	4	0	0
73		2022	1	4	1	0
74		2022	1	4	2	0
75		2022	1	4	3	0
76		2022	1	4	4	0
77		2022	1	4	5	0
78		2022	1	4	6	0
79		2022	1	4	7	0
80		2022	1	4	8	0
81		2022	1	4	9	0
