Station Code	Station Name	Country	Network	Station type	Latitude	Longitude	Date	PM10 mean concentration (microg/m^3)
FI_5_69642	Lohja Harjula	FI	European Envioronmental Agency (EEA)	background	60.24902999953789	24.06947	2024-04-29	22.420592875
FI_5_70766	Naantalin keskusta	FI	European Envioronmental Agency (EEA)	traffic	60.46743999954	22.028400000000005	2024-04-29	14.047222466666668
IS_5_23743	Grundartangi Kríuvarða	IS	European Envioronmental Agency (EEA)	industrial	64.373583	-21.759139	2024-04-29	5.732528260869565
IS_5_45497	Reykjavik Husdyragardurinn	IS	European Envioronmental Agency (EEA)	background	64.13886100000002	-21.873411	2024-04-29	12.633401304347824
IS_5_45503	Reykjavik Grensas	IS	European Envioronmental Agency (EEA)	traffic	64.1301	-21.87465	2021-01-01	
IS_5_45504	Hafnarfjörður Hvaleyrarholt	IS	European Envioronmental Agency (EEA)	background	64.058867	-21.990733	2021-12-31	
IS_5_52109	Kópavogur Dalsmári	IS	European Envioronmental Agency (EEA)	background	64.10495	-21.889	2024-04-29	10.56584043478261
IS_5_52149	Grundartangi Gröf	IS	European Envioronmental Agency (EEA)	industrial	64.33416400000002	-21.835686	2024-04-29	7.545114347826086
IS_5_61402	Hafnarfjörður Norðurhella	IS	European Envioronmental Agency (EEA)	industrial	64.04416	-21.98535	2024-04-29	11.066157391304348
IS_5_61403	PCC norður	IS	European Envioronmental Agency (EEA)	industrial	66.079276	-17.342173	2024-04-29	
IS_5_61404	PCC suður	IS	European Envioronmental Agency (EEA)	industrial	66.05485800000001	-17.34755	2024-04-29	5.030629090909091
IS_5_61443	Akureyri Strandgata (við Hof)	IS	European Envioronmental Agency (EEA)	traffic	65.684092	-18.088205	2024-04-29	26.208333333333332
IS_5_66726	Reykjavik Grensas	IS	European Envioronmental Agency (EEA)	traffic	64.1301	-21.87465	2024-04-29	28.083333333333332
NO_5_28640	Lillehammer barnehage	NO	European Envioronmental Agency (EEA)	background	61.12086999954639	10.46563	2024-04-29	9.21530988375
NO_5_28653	Våland	NO	European Envioronmental Agency (EEA)	background	58.96164999952609	5.7314	2024-04-29	12.848203363333333
