	Station Code	Station Name	Country	Station type	Latitude	Longitude	Network	PM10 24h mean forecast	PM10 48h mean forecast	Today air quality	Tomorrow air quality
38	SPO-IS0005A_00005_103	Reykjavik Grensas	Iceland	traffic	64.1301	-21.8747	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
39	SPO-IS0052A_00005_100	Akureyri Strandgata (viÃ° Hof)	Iceland	traffic	65.6841	-18.0882	European Envioronmental Agency (EEA)	12.376732909161111	20.164240754168965	Good	Good
40	SPO-IS0025A_00005_100	Grundartangi KrÃ­uvarÃ°a	Iceland	industrial	64.3736	-21.7591	European Envioronmental Agency (EEA)	10.929030335467795	8.772420199021049	Good	Good
41	SPO-IS0041A_00005_100	Grundartangi GrÃ¶f	Iceland	industrial	64.3342	-21.8357	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
42	SPO-IS0037A_00005_100	KÃ³pavogur DalsmÃ¡ri	Iceland	background	64.105	-21.889	European Envioronmental Agency (EEA)	7.7634482072747275	9.880609014759893	Good	Good
43	SPO-IS0046A_00005_101	HafnarfjÃ¶rÃ°ur NorÃ°urhella	Iceland	background	64.0442	-21.9854	European Envioronmental Agency (EEA)	15.995814447817596	12.142953769020412	Good	Good
44	SPO-IS0049A_00005_100	PCC norÃ°ur	Iceland	industrial	66.0793	-17.3422	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
45	SPO-IS0050A_00005_100	PCC suÃ°ur	Iceland	industrial	66.0549	-17.3476	European Envioronmental Agency (EEA)	6.757417595904807	6.002117747845857	Good	Good
46	SPO_NO0071A_5_38	Manglerud	Norway	traffic	59.8986	10.8149	European Envioronmental Agency (EEA)	28.207782994145933	28.783161370650582	Moderate	Moderate
47	SPO_NO0093A_5_1039	Hjortnes	Norway	traffic	59.9113	10.704	European Envioronmental Agency (EEA)	40.837420007456906	36.495658128157906	Moderate	Moderate
48	SPO_NO0095A_5_934	Smestad	Norway	traffic	59.9325	10.6699	European Envioronmental Agency (EEA)	29.60288532920506	27.14917858787205	Moderate	Moderate
49	SPO_NO0101A_5_332	Rv 4 Aker sykehus	Norway	traffic	59.941	10.798	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
50	SPO_NO0122A_5_2945	E6 Alna senter	Norway	traffic	59.9256	10.8504	European Envioronmental Agency (EEA)	27.96269748521888	27.134591434312902	Moderate	Moderate
51	SPO_NO0002R_5_1572	Birkenesobservatoriet	Norway	background	58.3885	8.2519	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
52	SPO_NO0039R_5_1546	KÃ¥rvatn	Norway	background	62.7825	8.8766	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
53	SPO_NO0056R_5_1539	Hurdal25	Norway	background	60.3729	11.0741	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
