	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
86	NaN	2021	4	5	13	0	SPO_NO0143A_5_3173
87	NaN	2021	4	5	14	0	SPO_NO0143A_5_3173
88	NaN	2021	4	5	15	0	SPO_NO0143A_5_3173
89	NaN	2021	4	5	16	0	SPO_NO0143A_5_3173
90	NaN	2021	4	5	17	0	SPO_NO0143A_5_3173
91	NaN	2021	4	5	18	0	SPO_NO0143A_5_3173
92	NaN	2021	4	5	19	0	SPO_NO0143A_5_3173
93	NaN	2021	4	5	20	0	SPO_NO0143A_5_3173
94	NaN	2021	4	5	21	0	SPO_NO0143A_5_3173
95	NaN	2021	4	5	22	0	SPO_NO0143A_5_3173
96	NaN	2021	4	5	23	0	SPO_NO0143A_5_3173
97	NaN	2021	4	6	0	0	SPO_NO0143A_5_3173
98	NaN	2021	4	6	1	0	SPO_NO0143A_5_3173
99	NaN	2021	4	6	2	0	SPO_NO0143A_5_3173
100	NaN	2021	4	6	3	0	SPO_NO0143A_5_3173
101	NaN	2021	4	6	4	0	SPO_NO0143A_5_3173
102	NaN	2021	4	6	5	0	SPO_NO0143A_5_3173
103	NaN	2021	4	6	6	0	SPO_NO0143A_5_3173
104	NaN	2021	4	6	7	0	SPO_NO0143A_5_3173
105	NaN	2021	4	6	8	0	SPO_NO0143A_5_3173
106	NaN	2021	4	6	9	0	SPO_NO0143A_5_3173
107	NaN	2021	4	6	10	0	SPO_NO0143A_5_3173
108	NaN	2021	4	6	11	0	SPO_NO0143A_5_3173
109	NaN	2021	4	6	12	0	SPO_NO0143A_5_3173
110	NaN	2021	4	6	13	0	SPO_NO0143A_5_3173
111	NaN	2021	4	6	14	0	SPO_NO0143A_5_3173
112	NaN	2021	4	6	15	0	SPO_NO0143A_5_3173
113	NaN	2021	4	6	16	0	SPO_NO0143A_5_3173
114	NaN	2021	4	6	17	0	SPO_NO0143A_5_3173
115	NaN	2021	4	6	18	0	SPO_NO0143A_5_3173
