	Files_names	Nan_count	Longest_NaN_gap	Start_date	End_date	conc mean 2020	2020 days conc>50 (microg/m^3)	conc mean 2021	2021 days conc>50 (microg/m^3)	conc mean 2022	 2022 days conc>50 (microg/m^3)	conc mean 2023	 2023 days conc>50 (microg/m^3)	conc mean 2020 jan-june	conc mean 2021 jan-june	conc mean 2022 jan-june	conc mean 2023 jan-june
13	FI_5_15609_PM10_timeseries.txt	252	31	2020-01-01	2023-08-31	[11.245725378866844]	1	[12.048117670159819]	5	[11.005864769845527]	1	[13.145559057761712]	3	12.670424892806615	14.228664339900117	13.07438380465441	14.430820949503579
14	FI_5_15614_PM10_timeseries.txt	604	244	2020-01-01	2023-08-31	[10.366643658669116]	1	[10.086742682408376]	2	[9.265197663412428]	1	[10.962446054854933]	2	10.616296122924593	10.810662355063467	10.018680877547258	12.077834418769987
15	FI_5_15624_PM10_timeseries.txt	873	48	2020-01-01	2021-01-04	[17.463771959678926]	2	[7.5694396616279045]	0	[nan]	0	[nan]	0	18.253927756052033	7.569439661627907		
16	FI_5_15630_PM10_timeseries.txt	4158	1488	2020-01-01	2023-08-31	[11.393785383552038]	6	[11.584363217635563]	10	[10.990850309993041]	10	[14.540570313278787]	10	13.36766331328392	15.024401469882598	15.009865528271028	15.274549104166669
17	FI_5_15643_PM10_timeseries.txt	2213	1244	2020-01-01	2023-08-31	[12.520950741206056]	6	[13.6605498845618]	9	[14.930677058728879]	12	[14.292818187804889]	9	14.704934584624741	16.28024968444694	21.070698172698037	16.219401060078415
18	FI_5_15649_PM10_timeseries.txt	2065	180	2020-01-01	2023-08-31	[10.884932323565497]	2	[9.581602552426927]	0	[9.712475030389525]	4	[11.771049550387428]	0	11.837742163329347	10.709341822075961	11.237920246471601	12.738875009034345
19	FI_5_15677_PM10_timeseries.txt	159	38	2020-01-01	2021-12-31	[9.864070058531723]	5	[9.875155061741115]	4	[nan]	0	[nan]	0	12.086120164110389	12.337450931355347		
20	FI_5_15691_PM10_timeseries.txt	849	406	2020-01-01	2023-08-31	[9.745275066525029]	3	[9.513176505912387]	3	[9.573976727427166]	6	[10.899706075596667]	4	11.696302446765598	11.462305698677456	12.133564332651623	12.256661328525123
21	FI_5_15731_PM10_timeseries.txt	266	80	2020-01-01	2023-08-31	[6.601883500270633]	2	[5.575391470359843]	0	[5.269826994844039]	2	[5.452362857324201]	0	7.514255014059217	6.508510144513376	6.350224067971449	5.890438999032927
22	FI_5_15774_PM10_timeseries.txt	4536	4092	2021-01-01	2023-08-31	[nan]	0	[7.696544217008609]	1	[6.985606938577346]	0	[6.934104685262976]	0		8.23923343879206	12.965381119047617	6.862783775867691
23	FI_5_15785_PM10_timeseries.txt	601	244	2020-01-01	2023-08-31	[10.920637873358102]	1	[10.649335468514861]	3	[11.202537815262653]	5	[11.225958076870656]	1	11.154436502648077	12.313545262584658	13.179255645685279	12.15826493695546
24	FI_5_15803_PM10_timeseries.txt	424	145	2020-01-01	2023-08-31	[14.053414991044166]	7	[13.846705114994826]	7	[13.818561217002102]	12	[15.50095060435909]	10	15.356801550064997	17.024358497414635	16.99176230308227	17.933530150875576
25	FI_5_15806_PM10_timeseries.txt	353	43	2020-01-01	2023-08-31	[11.967980529871857]	0	[11.331930237501423]	3	[12.394800284074927]	8	[14.495450964637765]	8	13.411281579702603	12.701827921708789	15.101546586005087	16.302208479758868
26	FI_5_15839_PM10_timeseries.txt	245	91	2020-01-01	2022-05-30	[10.05994242584557]	1	[10.79497102776796]	3	[11.854058505803224]	4	[nan]	0	11.18771526626636	12.543354864942318	11.854058505803195	
27	FI_5_15853_PM10_timeseries.txt	4203	4027	2020-01-01	2023-08-31	[9.430751137777529]	0	[10.09993418054464]	0	[8.713506506680984]	0	[9.623112901700177]	0	9.447588193251153	11.029377656339719	9.930849479495267	10.41394687398524
28	FI_5_15870_PM10_timeseries.txt	625	414	2020-01-01	2023-08-31	[10.433230448992829]	0	[11.201094930861489]	3	[12.672547379188421]	13	[14.315485342636478]	13	11.276245119127841	12.666128284310105	16.918520129719628	15.951718140810689
29	FI_5_15904_PM10_timeseries.txt	1758	992	2020-01-01	2023-08-31	[8.151773414837969]	0	[8.603717555528263]	1	[9.605891815769223]	7	[9.710217582437792]	2	9.002758976202498	10.036006699923389	11.814237877005098	10.28699682090244
30	FI_5_15938_PM10_timeseries.txt	478	171	2020-01-01	2023-08-31	[11.932829320592019]	12	[10.477864699728357]	6	[12.340305125699425]	12	[15.99413439346441]	13	14.783788787563687	12.338887587153542	13.781514676942587	18.671185247056112
31	FI_5_15986_PM10_timeseries.txt	1423	1336	2020-01-01	2023-08-31	[9.024801824141903]	3	[9.162858444849554]	1	[9.14963546051573]	5	[10.921100289569397]	7	9.654998348208512	11.0526388532012	11.211617213729557	8.89830285650472
32	FI_5_15988_PM10_timeseries.txt	970	244	2020-01-01	2023-08-31	[9.138473498024759]	1	[9.53223262891554]	1	[8.986666577655864]	0	[9.194938404026958]	0	9.007597734207033	9.929847992756796	9.351676723762376	9.455378425663278
33	FI_5_34794_PM10_timeseries.txt	2547	2042	2020-01-01	2023-08-31	[11.327817907284553]	3	[10.916486545095374]	5	[11.070200560566011]	1	[12.200731553363516]	6	13.75075653019028	13.228548082299254	12.211223616944771	13.66689381495415
34	FI_5_50409_PM10_timeseries.txt	286	38	2020-01-01	2023-08-31	[16.44414165947191]	9	[15.759550790339885]	12	[17.734775966697573]	17	[21.41019731463407]	23	18.896424098496205	17.875164814611807	21.927344521985162	24.71487818510491
35	FI_5_56712_PM10_timeseries.txt	532	164	2020-01-01	2023-08-31	[11.252882931796027]	1	[11.033118893548332]	2	[11.329824906313972]	5	[13.2576695244677]	5	12.37168080364366	12.261254351770036	13.628274357369943	14.269236189377882
36	FI_5_60955_PM10_timeseries.txt	234	100	2020-01-01	2023-08-31	[11.627506334287704]	4	[14.881174316696132]	17	[13.141162737562125]	14	[16.03101144323267]	13	12.474378805543834	16.671895872932506	17.193531156830225	18.708966314226423
