	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
0	23.11404999	2020	1	1	0	0	SPO-FI00425_00005_100
1	9.104689	2020	1	1	1	0	SPO-FI00425_00005_100
2	4.27530699	2020	1	1	2	0	SPO-FI00425_00005_100
3	2.766178	2020	1	1	3	0	SPO-FI00425_00005_100
4	3.010942	2020	1	1	4	0	SPO-FI00425_00005_100
5	3.35144099	2020	1	1	5	0	SPO-FI00425_00005_100
6	1.79985	2020	1	1	6	0	SPO-FI00425_00005_100
7	1.643494	2020	1	1	7	0	SPO-FI00425_00005_100
8	2.044175	2020	1	1	8	0	SPO-FI00425_00005_100
9	2.07457	2020	1	1	9	0	SPO-FI00425_00005_100
10	3.341326	2020	1	1	10	0	SPO-FI00425_00005_100
11	2.203047	2020	1	1	11	0	SPO-FI00425_00005_100
12	5.023797	2020	1	1	12	0	SPO-FI00425_00005_100
13	1.137871	2020	1	1	13	0	SPO-FI00425_00005_100
14	4.15943099	2020	1	1	14	0	SPO-FI00425_00005_100
15	2.424402	2020	1	1	15	0	SPO-FI00425_00005_100
16	3.29725799	2020	1	1	16	0	SPO-FI00425_00005_100
17	4.023747	2020	1	1	17	0	SPO-FI00425_00005_100
18	3.98452999	2020	1	1	18	0	SPO-FI00425_00005_100
19	2.01912499	2020	1	1	19	0	SPO-FI00425_00005_100
20	2.713468	2020	1	1	20	0	SPO-FI00425_00005_100
21	2.876764	2020	1	1	21	0	SPO-FI00425_00005_100
22	2.05071499	2020	1	1	22	0	SPO-FI00425_00005_100
23	1.397555	2020	1	1	23	0	SPO-FI00425_00005_100
24	3.925949	2020	1	2	0	0	SPO-FI00425_00005_100
25	1.617887	2020	1	2	1	0	SPO-FI00425_00005_100
26	2.929621	2020	1	2	2	0	SPO-FI00425_00005_100
27	4.406933	2020	1	2	3	0	SPO-FI00425_00005_100
28	3.052064	2020	1	2	4	0	SPO-FI00425_00005_100
29	4.617664	2020	1	2	5	0	SPO-FI00425_00005_100
30	7.13968899	2020	1	2	6	0	SPO-FI00425_00005_100
31	5.64226199	2020	1	2	7	0	SPO-FI00425_00005_100
32	7.64782999	2020	1	2	8	0	SPO-FI00425_00005_100
33	7.942135	2020	1	2	9	0	SPO-FI00425_00005_100
34	8.988556	2020	1	2	10	0	SPO-FI00425_00005_100
35	8.788729	2020	1	2	11	0	SPO-FI00425_00005_100
36	10.36389999	2020	1	2	12	0	SPO-FI00425_00005_100
37	8.944273	2020	1	2	13	0	SPO-FI00425_00005_100
38	7.703229	2020	1	2	14	0	SPO-FI00425_00005_100
39	14.51756	2020	1	2	15	0	SPO-FI00425_00005_100
40	12.2789	2020	1	2	16	0	SPO-FI00425_00005_100
41	15.17092	2020	1	2	17	0	SPO-FI00425_00005_100
42	14.46261999	2020	1	2	18	0	SPO-FI00425_00005_100
43	14.9824	2020	1	2	19	0	SPO-FI00425_00005_100
44	15.05414	2020	1	2	20	0	SPO-FI00425_00005_100
45	11.96415	2020	1	2	21	0	SPO-FI00425_00005_100
46	9.632101	2020	1	2	22	0	SPO-FI00425_00005_100
47	11.29806	2020	1	2	23	0	SPO-FI00425_00005_100
48	11.38401	2020	1	3	0	0	SPO-FI00425_00005_100
49	10.44349	2020	1	3	1	0	SPO-FI00425_00005_100
50	10.68238	2020	1	3	2	0	SPO-FI00425_00005_100
51	10.47746	2020	1	3	3	0	SPO-FI00425_00005_100
52	11.04528	2020	1	3	4	0	SPO-FI00425_00005_100
53	10.95833	2020	1	3	5	0	SPO-FI00425_00005_100
54	14.69154	2020	1	3	6	0	SPO-FI00425_00005_100
55	11.5267	2020	1	3	7	0	SPO-FI00425_00005_100
56	10.97383999	2020	1	3	8	0	SPO-FI00425_00005_100
57	8.203312	2020	1	3	9	0	SPO-FI00425_00005_100
58	5.953717	2020	1	3	10	0	SPO-FI00425_00005_100
59	5.8604	2020	1	3	11	0	SPO-FI00425_00005_100
60	4.359083	2020	1	3	12	0	SPO-FI00425_00005_100
61	2.171052	2020	1	3	13	0	SPO-FI00425_00005_100
62	4.43618199	2020	1	3	14	0	SPO-FI00425_00005_100
63	3.009876	2020	1	3	15	0	SPO-FI00425_00005_100
64	1.80936499	2020	1	3	16	0	SPO-FI00425_00005_100
65	4.250339	2020	1	3	17	0	SPO-FI00425_00005_100
66	3.097232	2020	1	3	18	0	SPO-FI00425_00005_100
67	1.481294	2020	1	3	19	0	SPO-FI00425_00005_100
68	1.499492	2020	1	3	20	0	SPO-FI00425_00005_100
69	0.0	2020	1	3	21	0	SPO-FI00425_00005_100
70	0.5708858	2020	1	3	22	0	SPO-FI00425_00005_100
71	1.589102	2020	1	3	23	0	SPO-FI00425_00005_100
72	5.085892	2020	1	4	0	0	SPO-FI00425_00005_100
73	10.18103999	2020	1	4	1	0	SPO-FI00425_00005_100
74	5.446155	2020	1	4	2	0	SPO-FI00425_00005_100
75	4.56993899	2020	1	4	3	0	SPO-FI00425_00005_100
76	3.920407	2020	1	4	4	0	SPO-FI00425_00005_100
77	2.527083	2020	1	4	5	0	SPO-FI00425_00005_100
78	2.587657	2020	1	4	6	0	SPO-FI00425_00005_100
79	2.853532	2020	1	4	7	0	SPO-FI00425_00005_100
80	3.69171199	2020	1	4	8	0	SPO-FI00425_00005_100
81	2.148073	2020	1	4	9	0	SPO-FI00425_00005_100
82	1.862833	2020	1	4	10	0	SPO-FI00425_00005_100
83	2.420396	2020	1	4	11	0	SPO-FI00425_00005_100
84	4.57081699	2020	1	4	12	0	SPO-FI00425_00005_100
85	5.51515799	2020	1	4	13	0	SPO-FI00425_00005_100
86	6.45193999	2020	1	4	14	0	SPO-FI00425_00005_100
87	6.303899	2020	1	4	15	0	SPO-FI00425_00005_100
88	4.981276	2020	1	4	16	0	SPO-FI00425_00005_100
89	4.198825	2020	1	4	17	0	SPO-FI00425_00005_100
90	4.27244099	2020	1	4	18	0	SPO-FI00425_00005_100
91	4.40127899	2020	1	4	19	0	SPO-FI00425_00005_100
92	6.27768299	2020	1	4	20	0	SPO-FI00425_00005_100
93	5.841952	2020	1	4	21	0	SPO-FI00425_00005_100
94	4.44012799	2020	1	4	22	0	SPO-FI00425_00005_100
95	4.044024	2020	1	4	23	0	SPO-FI00425_00005_100
96	4.52878999	2020	1	5	0	0	SPO-FI00425_00005_100
97	6.61539799	2020	1	5	1	0	SPO-FI00425_00005_100
98	7.819465	2020	1	5	2	0	SPO-FI00425_00005_100
99	9.920745	2020	1	5	3	0	SPO-FI00425_00005_100
100	11.05546	2020	1	5	4	0	SPO-FI00425_00005_100
101	10.12698999	2020	1	5	5	0	SPO-FI00425_00005_100
102	13.98556999	2020	1	5	6	0	SPO-FI00425_00005_100
103	11.3694	2020	1	5	7	0	SPO-FI00425_00005_100
104	12.58013	2020	1	5	8	0	SPO-FI00425_00005_100
105	15.9557	2020	1	5	9	0	SPO-FI00425_00005_100
106	16.21495	2020	1	5	10	0	SPO-FI00425_00005_100
107	19.12294999	2020	1	5	11	0	SPO-FI00425_00005_100
108	24.89225	2020	1	5	12	0	SPO-FI00425_00005_100
109	29.42685	2020	1	5	13	0	SPO-FI00425_00005_100
110	27.88261	2020	1	5	14	0	SPO-FI00425_00005_100
111	25.90718	2020	1	5	15	0	SPO-FI00425_00005_100
112	37.6096	2020	1	5	16	0	SPO-FI00425_00005_100
113	41.99062	2020	1	5	17	0	SPO-FI00425_00005_100
114	25.85137999	2020	1	5	18	0	SPO-FI00425_00005_100
