	Date	Concentration(microg/m^3)	SamplingPoint
0	2021-01-25 14:00:00+00:00	5.6000000000000005	NO/SPO_NO0147A_5_3157
1	2021-01-25 15:00:00+00:00		NO/SPO_NO0147A_5_3157
2	2021-01-25 16:00:00+00:00		NO/SPO_NO0147A_5_3157
3	2021-01-25 17:00:00+00:00		NO/SPO_NO0147A_5_3157
4	2021-01-25 18:00:00+00:00		NO/SPO_NO0147A_5_3157
5	2021-01-25 19:00:00+00:00		NO/SPO_NO0147A_5_3157
6	2021-01-25 20:00:00+00:00		NO/SPO_NO0147A_5_3157
7	2021-01-25 21:00:00+00:00		NO/SPO_NO0147A_5_3157
8	2021-01-25 22:00:00+00:00		NO/SPO_NO0147A_5_3157
9	2021-01-25 23:00:00+00:00		NO/SPO_NO0147A_5_3157
10	2021-01-26 00:00:00+00:00		NO/SPO_NO0147A_5_3157
11	2021-01-26 01:00:00+00:00		NO/SPO_NO0147A_5_3157
12	2021-01-26 02:00:00+00:00		NO/SPO_NO0147A_5_3157
13	2021-01-26 03:00:00+00:00		NO/SPO_NO0147A_5_3157
14	2021-01-26 04:00:00+00:00		NO/SPO_NO0147A_5_3157
15	2021-01-26 05:00:00+00:00		NO/SPO_NO0147A_5_3157
16	2021-01-26 06:00:00+00:00		NO/SPO_NO0147A_5_3157
17	2021-01-26 07:00:00+00:00		NO/SPO_NO0147A_5_3157
18	2021-01-26 08:00:00+00:00		NO/SPO_NO0147A_5_3157
19	2021-01-26 09:00:00+00:00		NO/SPO_NO0147A_5_3157
20	2021-01-26 10:00:00+00:00		NO/SPO_NO0147A_5_3157
21	2021-01-26 11:00:00+00:00		NO/SPO_NO0147A_5_3157
22	2021-01-26 12:00:00+00:00		NO/SPO_NO0147A_5_3157
23	2021-01-26 13:00:00+00:00		NO/SPO_NO0147A_5_3157
24	2021-01-26 14:00:00+00:00		NO/SPO_NO0147A_5_3157
25	2021-01-26 15:00:00+00:00		NO/SPO_NO0147A_5_3157
26	2021-01-26 16:00:00+00:00	21.5	NO/SPO_NO0147A_5_3157
27	2021-01-26 17:00:00+00:00	39.7	NO/SPO_NO0147A_5_3157
28	2021-01-26 18:00:00+00:00	61.3	NO/SPO_NO0147A_5_3157
29	2021-01-26 19:00:00+00:00	68.7	NO/SPO_NO0147A_5_3157
30	2021-01-26 20:00:00+00:00	53.3	NO/SPO_NO0147A_5_3157
31	2021-01-26 21:00:00+00:00	39.2	NO/SPO_NO0147A_5_3157
32	2021-01-26 22:00:00+00:00	36.8	NO/SPO_NO0147A_5_3157
33	2021-01-26 23:00:00+00:00	34.1	NO/SPO_NO0147A_5_3157
34	2021-01-27 00:00:00+00:00	31.6	NO/SPO_NO0147A_5_3157
35	2021-01-27 01:00:00+00:00	23.6	NO/SPO_NO0147A_5_3157
36	2021-01-27 02:00:00+00:00	20.1	NO/SPO_NO0147A_5_3157
37	2021-01-27 03:00:00+00:00	21.5	NO/SPO_NO0147A_5_3157
38	2021-01-27 04:00:00+00:00	16.400000000000002	NO/SPO_NO0147A_5_3157
39	2021-01-27 05:00:00+00:00	10.4	NO/SPO_NO0147A_5_3157
40	2021-01-27 06:00:00+00:00	10.9	NO/SPO_NO0147A_5_3157
41	2021-01-27 07:00:00+00:00	11.6	NO/SPO_NO0147A_5_3157
42	2021-01-27 08:00:00+00:00	15.4	NO/SPO_NO0147A_5_3157
43	2021-01-27 09:00:00+00:00	22.0	NO/SPO_NO0147A_5_3157
44	2021-01-27 10:00:00+00:00	22.3	NO/SPO_NO0147A_5_3157
45	2021-01-27 11:00:00+00:00	30.000000000000004	NO/SPO_NO0147A_5_3157
46	2021-01-27 12:00:00+00:00	31.8	NO/SPO_NO0147A_5_3157
47	2021-01-27 13:00:00+00:00	25.000000000000004	NO/SPO_NO0147A_5_3157
48	2021-01-27 14:00:00+00:00	24.0	NO/SPO_NO0147A_5_3157
49	2021-01-27 15:00:00+00:00	22.9	NO/SPO_NO0147A_5_3157
50	2021-01-27 16:00:00+00:00	38.1	NO/SPO_NO0147A_5_3157
51	2021-01-27 17:00:00+00:00	50.7	NO/SPO_NO0147A_5_3157
52	2021-01-27 18:00:00+00:00	61.50000000000001	NO/SPO_NO0147A_5_3157
53	2021-01-27 19:00:00+00:00	77.2	NO/SPO_NO0147A_5_3157
