	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
0	32.20432999	2020	1	1	0	0	SPO-FI00841_00005_100
1	18.40753	2020	1	1	1	0	SPO-FI00841_00005_100
2	9.46974999	2020	1	1	2	0	SPO-FI00841_00005_100
3	5.48294399	2020	1	1	3	0	SPO-FI00841_00005_100
4	2.00113899	2020	1	1	4	0	SPO-FI00841_00005_100
5	2.97613899	2020	1	1	5	0	SPO-FI00841_00005_100
6	2.36044499	2020	1	1	6	0	SPO-FI00841_00005_100
7	1.29155599	2020	1	1	7	0	SPO-FI00841_00005_100
8	3.20725	2020	1	1	8	0	SPO-FI00841_00005_100
9	2.29794499	2020	1	1	9	0	SPO-FI00841_00005_100
10	3.508639	2020	1	1	10	0	SPO-FI00841_00005_100
11	2.23099999	2020	1	1	11	0	SPO-FI00841_00005_100
12	1.522667	2020	1	1	12	0	SPO-FI00841_00005_100
13	0.8743333	2020	1	1	13	0	SPO-FI00841_00005_100
14	1.707667	2020	1	1	14	0	SPO-FI00841_00005_100
15	2.65433299	2020	1	1	15	0	SPO-FI00841_00005_100
16	3.147667	2020	1	1	16	0	SPO-FI00841_00005_100
17	2.779056	2020	1	1	17	0	SPO-FI00841_00005_100
18	4.62669499	2020	1	1	18	0	SPO-FI00841_00005_100
19	4.143639	2020	1	1	19	0	SPO-FI00841_00005_100
20	3.41849999	2020	1	1	20	0	SPO-FI00841_00005_100
21	3.942111	2020	1	1	21	0	SPO-FI00841_00005_100
22	0.0	2020	1	1	22	0	SPO-FI00841_00005_100
23	0.0	2020	1	1	23	0	SPO-FI00841_00005_100
24	2.095028	2020	1	2	0	0	SPO-FI00841_00005_100
25	3.828361	2020	1	2	1	0	SPO-FI00841_00005_100
26	4.31586099	2020	1	2	2	0	SPO-FI00841_00005_100
27	3.250722	2020	1	2	3	0	SPO-FI00841_00005_100
28	5.74099999	2020	1	2	4	0	SPO-FI00841_00005_100
29	3.891	2020	1	2	5	0	SPO-FI00841_00005_100
30	5.221	2020	1	2	6	0	SPO-FI00841_00005_100
31	7.09155599	2020	1	2	7	0	SPO-FI00841_00005_100
32	7.459055	2020	1	2	8	0	SPO-FI00841_00005_100
33	9.346139	2020	1	2	9	0	SPO-FI00841_00005_100
34	9.84447199	2020	1	2	10	0	SPO-FI00841_00005_100
35	10.46739	2020	1	2	11	0	SPO-FI00841_00005_100
36	9.793917	2020	1	2	12	0	SPO-FI00841_00005_100
37	11.43878	2020	1	2	13	0	SPO-FI00841_00005_100
