	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
0	58.42	2020	1	1	0	0	SPO-SE0001A_00005_100
1	74.73999999	2020	1	1	1	0	SPO-SE0001A_00005_100
2	158.93	2020	1	1	2	0	SPO-SE0001A_00005_100
3	55.18	2020	1	1	3	0	SPO-SE0001A_00005_100
4	34.18999999	2020	1	1	4	0	SPO-SE0001A_00005_100
5	22.48	2020	1	1	5	0	SPO-SE0001A_00005_100
6	15.84	2020	1	1	6	0	SPO-SE0001A_00005_100
7	14.96	2020	1	1	7	0	SPO-SE0001A_00005_100
8	7.08999999	2020	1	1	8	0	SPO-SE0001A_00005_100
9	11.28999999	2020	1	1	9	0	SPO-SE0001A_00005_100
10	16.82	2020	1	1	10	0	SPO-SE0001A_00005_100
11	5.79999999	2020	1	1	11	0	SPO-SE0001A_00005_100
12	11.08	2020	1	1	12	0	SPO-SE0001A_00005_100
13	7.91999999	2020	1	1	13	0	SPO-SE0001A_00005_100
14	10.8	2020	1	1	14	0	SPO-SE0001A_00005_100
15	7.51999999	2020	1	1	15	0	SPO-SE0001A_00005_100
16	11.83	2020	1	1	16	0	SPO-SE0001A_00005_100
17	12.19999999	2020	1	1	17	0	SPO-SE0001A_00005_100
18	8.3	2020	1	1	18	0	SPO-SE0001A_00005_100
19	12.17	2020	1	1	19	0	SPO-SE0001A_00005_100
20	11.09	2020	1	1	20	0	SPO-SE0001A_00005_100
21	13.35999999	2020	1	1	21	0	SPO-SE0001A_00005_100
22	19.71999999	2020	1	1	22	0	SPO-SE0001A_00005_100
23	22.43	2020	1	1	23	0	SPO-SE0001A_00005_100
24	21.05999999	2020	1	2	0	0	SPO-SE0001A_00005_100
25	16.57999999	2020	1	2	1	0	SPO-SE0001A_00005_100
26	18.69999999	2020	1	2	2	0	SPO-SE0001A_00005_100
27	16.48999999	2020	1	2	3	0	SPO-SE0001A_00005_100
28	20.52	2020	1	2	4	0	SPO-SE0001A_00005_100
29	21.98	2020	1	2	5	0	SPO-SE0001A_00005_100
30	20.1	2020	1	2	6	0	SPO-SE0001A_00005_100
31	22.16	2020	1	2	7	0	SPO-SE0001A_00005_100
32	25.62	2020	1	2	8	0	SPO-SE0001A_00005_100
33	36.18	2020	1	2	9	0	SPO-SE0001A_00005_100
34	38.39	2020	1	2	10	0	SPO-SE0001A_00005_100
35	38.72999999	2020	1	2	11	0	SPO-SE0001A_00005_100
36	35.15999999	2020	1	2	12	0	SPO-SE0001A_00005_100
37	30.21999999	2020	1	2	13	0	SPO-SE0001A_00005_100
38	37.25	2020	1	2	14	0	SPO-SE0001A_00005_100
39	34.61999999	2020	1	2	15	0	SPO-SE0001A_00005_100
40	35.5	2020	1	2	16	0	SPO-SE0001A_00005_100
41	25.59	2020	1	2	17	0	SPO-SE0001A_00005_100
42	28.03999999	2020	1	2	18	0	SPO-SE0001A_00005_100
43	24.21	2020	1	2	19	0	SPO-SE0001A_00005_100
44	21.19	2020	1	2	20	0	SPO-SE0001A_00005_100
45	16.30999999	2020	1	2	21	0	SPO-SE0001A_00005_100
46	16.37999999	2020	1	2	22	0	SPO-SE0001A_00005_100
47	12.96	2020	1	2	23	0	SPO-SE0001A_00005_100
48	7.57	2020	1	3	0	0	SPO-SE0001A_00005_100
49	5.54999999	2020	1	3	1	0	SPO-SE0001A_00005_100
50	6.33	2020	1	3	2	0	SPO-SE0001A_00005_100
51	13.94999999	2020	1	3	3	0	SPO-SE0001A_00005_100
