	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
87	3.73	2021	2	4	15	0	SPO-SE312888_00005_100
88	4.83999999	2021	2	4	16	0	SPO-SE312888_00005_100
89	4.36	2021	2	4	17	0	SPO-SE312888_00005_100
90	4.04999999	2021	2	4	18	0	SPO-SE312888_00005_100
91	4.08999999	2021	2	4	19	0	SPO-SE312888_00005_100
92	3.5	2021	2	4	20	0	SPO-SE312888_00005_100
93	3.16999999	2021	2	4	21	0	SPO-SE312888_00005_100
94	2.71	2021	2	4	22	0	SPO-SE312888_00005_100
95	2.74	2021	2	4	23	0	SPO-SE312888_00005_100
96	2.48	2021	2	5	0	0	SPO-SE312888_00005_100
97	2.45	2021	2	5	1	0	SPO-SE312888_00005_100
98	2.99	2021	2	5	2	0	SPO-SE312888_00005_100
99	2.22	2021	2	5	3	0	SPO-SE312888_00005_100
100	2.18	2021	2	5	4	0	SPO-SE312888_00005_100
101	2.16	2021	2	5	5	0	SPO-SE312888_00005_100
102	2.6	2021	2	5	6	0	SPO-SE312888_00005_100
103	3.12999999	2021	2	5	7	0	SPO-SE312888_00005_100
104	3.83	2021	2	5	8	0	SPO-SE312888_00005_100
105	5.41999999	2021	2	5	9	0	SPO-SE312888_00005_100
106	4.24	2021	2	5	10	0	SPO-SE312888_00005_100
107	3.83999999	2021	2	5	11	0	SPO-SE312888_00005_100
108	3.43999999	2021	2	5	12	0	SPO-SE312888_00005_100
109	4.36	2021	2	5	13	0	SPO-SE312888_00005_100
110	4.29999999	2021	2	5	14	0	SPO-SE312888_00005_100
111	4.71	2021	2	5	15	0	SPO-SE312888_00005_100
112	5.96	2021	2	5	16	0	SPO-SE312888_00005_100
113	6.98	2021	2	5	17	0	SPO-SE312888_00005_100
114	10.05	2021	2	5	18	0	SPO-SE312888_00005_100
115	7.71999999	2021	2	5	19	0	SPO-SE312888_00005_100
116	6.71999999	2021	2	5	20	0	SPO-SE312888_00005_100
117	5.44	2021	2	5	21	0	SPO-SE312888_00005_100
118	4.79999999	2021	2	5	22	0	SPO-SE312888_00005_100
119	4.0	2021	2	5	23	0	SPO-SE312888_00005_100
120	4.08999999	2021	2	6	0	0	SPO-SE312888_00005_100
121	3.66999999	2021	2	6	1	0	SPO-SE312888_00005_100
122	3.31	2021	2	6	2	0	SPO-SE312888_00005_100
123	3.14	2021	2	6	3	0	SPO-SE312888_00005_100
124	3.02999999	2021	2	6	4	0	SPO-SE312888_00005_100
125	2.97	2021	2	6	5	0	SPO-SE312888_00005_100
126	2.37999999	2021	2	6	6	0	SPO-SE312888_00005_100
127	2.29999999	2021	2	6	7	0	SPO-SE312888_00005_100
128	2.45999999	2021	2	6	8	0	SPO-SE312888_00005_100
129	2.79	2021	2	6	9	0	SPO-SE312888_00005_100
130	2.33	2021	2	6	10	0	SPO-SE312888_00005_100
131	2.5	2021	2	6	11	0	SPO-SE312888_00005_100
132	2.62999999	2021	2	6	12	0	SPO-SE312888_00005_100
133	2.18999999	2021	2	6	13	0	SPO-SE312888_00005_100
134	2.02	2021	2	6	14	0	SPO-SE312888_00005_100
135	2.02	2021	2	6	15	0	SPO-SE312888_00005_100
136	2.43999999	2021	2	6	16	0	SPO-SE312888_00005_100
137	2.27999999	2021	2	6	17	0	SPO-SE312888_00005_100
138	3.66999999	2021	2	6	18	0	SPO-SE312888_00005_100
139	4.67999999	2021	2	6	19	0	SPO-SE312888_00005_100
140	2.91	2021	2	6	20	0	SPO-SE312888_00005_100
141	4.75	2021	2	6	21	0	SPO-SE312888_00005_100
142	2.27	2021	2	6	22	0	SPO-SE312888_00005_100
143	1.97	2021	2	6	23	0	SPO-SE312888_00005_100
144	1.33	2021	2	7	0	0	SPO-SE312888_00005_100
145	1.06	2021	2	7	1	0	SPO-SE312888_00005_100
146	0.83	2021	2	7	2	0	SPO-SE312888_00005_100
147	1.01	2021	2	7	3	0	SPO-SE312888_00005_100
148	0.93	2021	2	7	4	0	SPO-SE312888_00005_100
149	0.8	2021	2	7	5	0	SPO-SE312888_00005_100
150	2.0	2021	2	7	6	0	SPO-SE312888_00005_100
151	1.09	2021	2	7	7	0	SPO-SE312888_00005_100
152	1.41999999	2021	2	7	8	0	SPO-SE312888_00005_100
153	1.40999999	2021	2	7	9	0	SPO-SE312888_00005_100
154	2.1	2021	2	7	10	0	SPO-SE312888_00005_100
155	1.95	2021	2	7	11	0	SPO-SE312888_00005_100
156	1.96	2021	2	7	12	0	SPO-SE312888_00005_100
157	2.72	2021	2	7	13	0	SPO-SE312888_00005_100
158	1.91999999	2021	2	7	14	0	SPO-SE312888_00005_100
159	1.89999999	2021	2	7	15	0	SPO-SE312888_00005_100
160	2.95	2021	2	7	16	0	SPO-SE312888_00005_100
161	4.23	2021	2	7	17	0	SPO-SE312888_00005_100
162	3.31	2021	2	7	18	0	SPO-SE312888_00005_100
163	2.68	2021	2	7	19	0	SPO-SE312888_00005_100
164	2.10999999	2021	2	7	20	0	SPO-SE312888_00005_100
165	1.72	2021	2	7	21	0	SPO-SE312888_00005_100
166	1.73	2021	2	7	22	0	SPO-SE312888_00005_100
167	1.58	2021	2	7	23	0	SPO-SE312888_00005_100
168	1.53	2021	2	8	0	0	SPO-SE312888_00005_100
169	2.7	2021	2	8	1	0	SPO-SE312888_00005_100
170	2.56999999	2021	2	8	2	0	SPO-SE312888_00005_100
171	2.75	2021	2	8	3	0	SPO-SE312888_00005_100
172	1.95	2021	2	8	4	0	SPO-SE312888_00005_100
173	2.29	2021	2	8	5	0	SPO-SE312888_00005_100
174	1.32	2021	2	8	6	0	SPO-SE312888_00005_100
175	2.54999999	2021	2	8	7	0	SPO-SE312888_00005_100
176	2.48	2021	2	8	8	0	SPO-SE312888_00005_100
177	5.32	2021	2	8	9	0	SPO-SE312888_00005_100
178	7.36	2021	2	8	10	0	SPO-SE312888_00005_100
179	5.50999999	2021	2	8	11	0	SPO-SE312888_00005_100
180	3.72	2021	2	8	12	0	SPO-SE312888_00005_100
181	3.08	2021	2	8	13	0	SPO-SE312888_00005_100
182	1.71	2021	2	8	14	0	SPO-SE312888_00005_100
183	1.73	2021	2	8	15	0	SPO-SE312888_00005_100
184	1.84	2021	2	8	16	0	SPO-SE312888_00005_100
185	2.02	2021	2	8	17	0	SPO-SE312888_00005_100
186	2.23	2021	2	8	18	0	SPO-SE312888_00005_100
187	1.92999999	2021	2	8	19	0	SPO-SE312888_00005_100
188	1.76	2021	2	8	20	0	SPO-SE312888_00005_100
189	1.58	2021	2	8	21	0	SPO-SE312888_00005_100
190	1.40999999	2021	2	8	22	0	SPO-SE312888_00005_100
191	1.59	2021	2	8	23	0	SPO-SE312888_00005_100
192	1.56	2021	2	9	0	0	SPO-SE312888_00005_100
193	1.58	2021	2	9	1	0	SPO-SE312888_00005_100
194	1.58	2021	2	9	2	0	SPO-SE312888_00005_100
195	1.28	2021	2	9	3	0	SPO-SE312888_00005_100
196	1.44999999	2021	2	9	4	0	SPO-SE312888_00005_100
197	1.65999999	2021	2	9	5	0	SPO-SE312888_00005_100
198	2.25	2021	2	9	6	0	SPO-SE312888_00005_100
199	1.67999999	2021	2	9	7	0	SPO-SE312888_00005_100
200	1.53	2021	2	9	8	0	SPO-SE312888_00005_100
201	2.39	2021	2	9	9	0	SPO-SE312888_00005_100
202	1.65999999	2021	2	9	10	0	SPO-SE312888_00005_100
203	1.48	2021	2	9	11	0	SPO-SE312888_00005_100
204	2.04	2021	2	9	12	0	SPO-SE312888_00005_100
205	2.25	2021	2	9	13	0	SPO-SE312888_00005_100
206	2.31	2021	2	9	14	0	SPO-SE312888_00005_100
207	3.0	2021	2	9	15	0	SPO-SE312888_00005_100
208	3.37999999	2021	2	9	16	0	SPO-SE312888_00005_100
209	3.39999999	2021	2	9	17	0	SPO-SE312888_00005_100
210	4.96	2021	2	9	18	0	SPO-SE312888_00005_100
211	5.59999999	2021	2	9	19	0	SPO-SE312888_00005_100
212	5.57	2021	2	9	20	0	SPO-SE312888_00005_100
213	9.18999999	2021	2	9	21	0	SPO-SE312888_00005_100
214	14.85	2021	2	9	22	0	SPO-SE312888_00005_100
215	7.44	2021	2	9	23	0	SPO-SE312888_00005_100
216	2.12	2021	2	10	0	0	SPO-SE312888_00005_100
217	2.16999999	2021	2	10	1	0	SPO-SE312888_00005_100
218	1.5	2021	2	10	2	0	SPO-SE312888_00005_100
219	1.36	2021	2	10	3	0	SPO-SE312888_00005_100
220	1.1	2021	2	10	4	0	SPO-SE312888_00005_100
221	0.81	2021	2	10	5	0	SPO-SE312888_00005_100
222	1.21	2021	2	10	6	0	SPO-SE312888_00005_100
223	1.56	2021	2	10	7	0	SPO-SE312888_00005_100
224	1.8	2021	2	10	8	0	SPO-SE312888_00005_100
225	1.87	2021	2	10	9	0	SPO-SE312888_00005_100
226	2.16999999	2021	2	10	10	0	SPO-SE312888_00005_100
227	1.99	2021	2	10	11	0	SPO-SE312888_00005_100
228	2.91999999	2021	2	10	12	0	SPO-SE312888_00005_100
229	2.91999999	2021	2	10	13	0	SPO-SE312888_00005_100
230	2.04999999	2021	2	10	14	0	SPO-SE312888_00005_100
231	2.06	2021	2	10	15	0	SPO-SE312888_00005_100
232	2.04	2021	2	10	16	0	SPO-SE312888_00005_100
233	2.14999999	2021	2	10	17	0	SPO-SE312888_00005_100
234	1.82	2021	2	10	18	0	SPO-SE312888_00005_100
235	1.59	2021	2	10	19	0	SPO-SE312888_00005_100
236	1.64999999	2021	2	10	20	0	SPO-SE312888_00005_100
237	2.35	2021	2	10	21	0	SPO-SE312888_00005_100
238	1.64999999	2021	2	10	22	0	SPO-SE312888_00005_100
239	1.5	2021	2	10	23	0	SPO-SE312888_00005_100
240	1.31	2021	2	11	0	0	SPO-SE312888_00005_100
241	1.42999999	2021	2	11	1	0	SPO-SE312888_00005_100
242	1.26	2021	2	11	2	0	SPO-SE312888_00005_100
243	1.16999999	2021	2	11	3	0	SPO-SE312888_00005_100
244	1.61	2021	2	11	4	0	SPO-SE312888_00005_100
245	1.8	2021	2	11	5	0	SPO-SE312888_00005_100
246	1.5	2021	2	11	6	0	SPO-SE312888_00005_100
247	2.08	2021	2	11	7	0	SPO-SE312888_00005_100
248	1.98	2021	2	11	8	0	SPO-SE312888_00005_100
249	1.71	2021	2	11	9	0	SPO-SE312888_00005_100
250	1.64999999	2021	2	11	10	0	SPO-SE312888_00005_100
251	1.57	2021	2	11	11	0	SPO-SE312888_00005_100
252	1.74	2021	2	11	12	0	SPO-SE312888_00005_100
253	2.18	2021	2	11	13	0	SPO-SE312888_00005_100
254	2.43999999	2021	2	11	14	0	SPO-SE312888_00005_100
255	2.6	2021	2	11	15	0	SPO-SE312888_00005_100
256	3.43999999	2021	2	11	16	0	SPO-SE312888_00005_100
257	4.23	2021	2	11	17	0	SPO-SE312888_00005_100
258	9.16	2021	2	11	18	0	SPO-SE312888_00005_100
259	8.9	2021	2	11	19	0	SPO-SE312888_00005_100
260	5.37	2021	2	11	20	0	SPO-SE312888_00005_100
261	3.79	2021	2	11	21	0	SPO-SE312888_00005_100
262	4.30999999	2021	2	11	22	0	SPO-SE312888_00005_100
263	2.43999999	2021	2	11	23	0	SPO-SE312888_00005_100
264	1.77	2021	2	12	0	0	SPO-SE312888_00005_100
265	1.40999999	2021	2	12	1	0	SPO-SE312888_00005_100
266	1.25	2021	2	12	2	0	SPO-SE312888_00005_100
