	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
0	NaN	2020	1	1	0	0	SPO-IS0046A_00005_101
1	7.42849999	2020	1	1	1	0	SPO-IS0046A_00005_101
2	9.52983	2020	1	1	2	0	SPO-IS0046A_00005_101
3	8.80949	2020	1	1	3	0	SPO-IS0046A_00005_101
4	7.68817	2020	1	1	4	0	SPO-IS0046A_00005_101
5	5.8585	2020	1	1	5	0	SPO-IS0046A_00005_101
6	7.88933	2020	1	1	6	0	SPO-IS0046A_00005_101
7	7.79049999	2020	1	1	7	0	SPO-IS0046A_00005_101
8	8.20449999	2020	1	1	8	0	SPO-IS0046A_00005_101
9	8.54967	2020	1	1	9	0	SPO-IS0046A_00005_101
10	8.00383	2020	1	1	10	0	SPO-IS0046A_00005_101
11	7.72182999	2020	1	1	11	0	SPO-IS0046A_00005_101
12	8.04467999	2020	1	1	12	0	SPO-IS0046A_00005_101
13	5.84499999	2020	1	1	13	0	SPO-IS0046A_00005_101
14	3.1265	2020	1	1	14	0	SPO-IS0046A_00005_101
15	4.219	2020	1	1	15	0	SPO-IS0046A_00005_101
16	8.59683	2020	1	1	16	0	SPO-IS0046A_00005_101
17	8.19816999	2020	1	1	17	0	SPO-IS0046A_00005_101
18	6.06782999	2020	1	1	18	0	SPO-IS0046A_00005_101
19	15.9787	2020	1	1	19	0	SPO-IS0046A_00005_101
20	7.75166999	2020	1	1	20	0	SPO-IS0046A_00005_101
21	17.80519999	2020	1	1	21	0	SPO-IS0046A_00005_101
22	9.90400999	2020	1	1	22	0	SPO-IS0046A_00005_101
23	6.54532999	2020	1	1	23	0	SPO-IS0046A_00005_101
24	10.2812	2020	1	2	0	0	SPO-IS0046A_00005_101
25	34.3138	2020	1	2	1	0	SPO-IS0046A_00005_101
26	15.4585	2020	1	2	2	0	SPO-IS0046A_00005_101
27	7.1615	2020	1	2	3	0	SPO-IS0046A_00005_101
28	25.8228	2020	1	2	4	0	SPO-IS0046A_00005_101
29	37.98599999	2020	1	2	5	0	SPO-IS0046A_00005_101
30	5.63417	2020	1	2	6	0	SPO-IS0046A_00005_101
31	8.44518	2020	1	2	7	0	SPO-IS0046A_00005_101
32	0.686167	2020	1	2	8	0	SPO-IS0046A_00005_101
33	3.96349999	2020	1	2	9	0	SPO-IS0046A_00005_101
34	3.82233	2020	1	2	10	0	SPO-IS0046A_00005_101
35	4.0175	2020	1	2	11	0	SPO-IS0046A_00005_101
36	7.62967	2020	1	2	12	0	SPO-IS0046A_00005_101
37	6.89217	2020	1	2	13	0	SPO-IS0046A_00005_101
38	7.76217	2020	1	2	14	0	SPO-IS0046A_00005_101
39	7.81332999	2020	1	2	15	0	SPO-IS0046A_00005_101
40	6.67283	2020	1	2	16	0	SPO-IS0046A_00005_101
41	24.5802	2020	1	2	17	0	SPO-IS0046A_00005_101
42	5.65249999	2020	1	2	18	0	SPO-IS0046A_00005_101
43	23.09369999	2020	1	2	19	0	SPO-IS0046A_00005_101
44	23.1537	2020	1	2	20	0	SPO-IS0046A_00005_101
45	0.0926667	2020	1	2	21	0	SPO-IS0046A_00005_101
46	130.19	2020	1	2	22	0	SPO-IS0046A_00005_101
47	102.41	2020	1	2	23	0	SPO-IS0046A_00005_101
48	242.28399999	2020	1	3	0	0	SPO-IS0046A_00005_101
49	154.578	2020	1	3	1	0	SPO-IS0046A_00005_101
50	1.14816999	2020	1	3	2	0	SPO-IS0046A_00005_101
51	2.90367	2020	1	3	3	0	SPO-IS0046A_00005_101
52	7.2575	2020	1	3	4	0	SPO-IS0046A_00005_101
53	23.3957	2020	1	3	5	0	SPO-IS0046A_00005_101
54	39.1	2020	1	3	6	0	SPO-IS0046A_00005_101
55	19.0927	2020	1	3	7	0	SPO-IS0046A_00005_101
