	B-G Namespace	Year	Air Quality Network	Air Quality Network Name	Timezone	Air Quality Station EoI Code	Air Quality Station Nat Code	Air Quality Station Name	Sampling Point Id	Air Pollutant	Longitude	Latitude	Altitude	Altitude Unit	Air Quality Station Area	Air Quality Station Type	Operational Activity Begin	Operational Activity End	Sample Id	Inlet Height	Inlet Height Unit	Building Distance	Building Distance Unit	Kerb Distance	Kerb Distance Unit	Distance Source	Distance Source Unit	Main Emission Sources	Heating Emissions	Heating Emissions Unit	Mobile	Traffic Emissions	Traffic Emissions Unit	Industrial Emissions	Industrial Emissions Unit	Municipality	Dispersion Local	Dispersion Regional	Distance Junction	Distance Junction Unit	Heavy Duty Fraction	Height Facades	Street Width	Traffic Speed	Traffic Volume	Process Id	Process Activity Begin	Process Activity End	Measurement Type	Measurement Method	Other Measurement Method	Measurement Equipment	Other Measurement Equipment	Sampling Method	Other Sampling Method	Analytical Technique	Other Analytical Technique	Equivalence Demonstrated	Demonstration Report	Detection Limit	Detection Limit Unit	Documentation	QA Report	Duration	Duration Unit	Cadence	Cadence Unit	Source Data URL	Imported	Unnamed: 70	Unnamed: 71
10	FI.FMI.AQ	2023	NET-FI004A	Helsingin seudun verkko (HSY)	UTC+02	FI00425	425	Kallio 2	SPO-FI00425_00005_100	PM10	24.9506	60.1874	18.0	m	urban	background	1999-01-01T00:00:00		SPO_F-FI00425_00005_100_100	4	m			65	m			Other			0					Helsinki	open				0.08			40	5000	SPP-FI_A_1163_7_5			automatic	nephelometry+beta		thermo5030SHARP						inprogress		-999	ug.m-3			1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
11	FI.FMI.AQ	2023	NET-FI004A	Helsingin seudun verkko (HSY)	UTC+02	FI00564	564	Mannerheimintie	SPO-FI00564_00005_100	PM10	24.9392	60.1696	7.0	m	urban	traffic	2005-01-04T00:00:00		SPO_F-FI00564_00005_100_100	4	m	6	m	3	m			Other			0					Helsinki	canyon		35		0.11	37	47	40	15800	SPP-FI_A_1475_7_5			automatic	BETA		andersenFH62IR						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf	-999	ug.m-3	katso laatudokumentti	http://ilmanlaatu.hsy.fi/www/Mittaus_ja_laatusuunnitelma.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
12	FI.FMI.AQ	2023	NET-FI004A	Helsingin seudun verkko (HSY)	UTC+02	FI00781	781	VartiokylÃ¤ Huivipolku	SPO-FI00781_00005_100	PM10	25.1024	60.2239	14.0	m	suburban	background	2009-01-22T00:00:00		SPO_F-FI00781_00005_100_100	3	m			60	m			Other			0					Helsinki	open				0.09			40	2400	SPP-FI_A_1098_7_5			automatic	nephelometry		GRIMM-EDM180						yes	http://www.grimm-aerosol.com/en/company/approvals-and-certificates.html	-999	ug.m-3	katso laatudokumentti	http://ilmansuojelu.ytv.kaapeli.fi/info/Mittaus_ja_laatusuunnitelma.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
13	FI.FMI.AQ	2023	NET-FI004A	Helsingin seudun verkko (HSY)	UTC+02	FI00841	841	LeppÃ¤vaara 4	SPO-FI00841_00005_100	PM10	24.8113	60.2202	9.0	m	urban	traffic	2010-01-08T00:00:00		SPO_F-FI00841_00005_100_100	4	m	65	m	14	m			Other			0					Espoo	open		32		0.07			50	23000	SPP-FI_A_1098_7_5			automatic	nephelometry		GRIMM-EDM180						yes	http://www.grimm-aerosol.com/en/company/approvals-and-certificates.html	-999	ug.m-3	katso laatudokumentti	http://ilmansuojelu.ytv.kaapeli.fi/info/Mittaus_ja_laatusuunnitelma.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
14	FI.FMI.AQ	2023	NET-FI004A	Helsingin seudun verkko (HSY)	UTC+02	FI00902	902	MÃ¤kelÃ¤nkatu	SPO-FI00902_00005_100	PM10	24.952	60.1964	25.0	m	urban	traffic	2015-01-27T00:00:00		SPO_F-FI00902_00005_100_100	4	m	4	m	1	m			Other			0					Helsinki	canyon				0.1	17	42	40	28100	SPP-FI_A_1309_7_5			automatic	TEOM		TEOM1405						inprogress		-999	ug.m-3		http://ilmansuojelu.ytv.kaapeli.fi/info/Mittaus_ja_laatusuunnitelma.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
15	FI.FMI.AQ	2023	NET-FI006A	Oulun verkko	UTC+02	FI00301	301	PyykÃ¶sjÃ¤rvi	SPO-FI00301_00005_100	PM10	25.4979	65.0434	18.0	m	suburban	background	1991-02-01T00:00:00		SPO_F-FI00301_00005_100_100	4	m					50	m	Transport			0					Oulu	detached									SPP-FI_A_1439_22_5			automatic	TEOM		TEOM1400						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf				https://www.ouka.fi/documents/64417/159961/OULUN+ILMANLAADUN+MITTAUSTEN+LAATUJ%C3%84RJESTELM%C3%84N+KUVAUS.pdf/84b5eeac-5aeb-4359-9f53-86800c59bf09	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
16	FI.FMI.AQ	2023	NET-FI006A	Oulun verkko	UTC+02	FI00446	446	Oulun keskusta 2	SPO-FI00446_00005_100	PM10	25.4713	65.01	5.0	m	urban	traffic	1997-12-10T00:00:00		SPO_F-FI00446_00005_100_100	4	m	7	m	5	m			Transport			0					Oulu	canyon		40		0.2	12	25	30	6000	SPP-FI_A_1222_22_5			automatic	TEOM		TEOM1405						inprogress		-999	ug.m-3	PM2	5. ja PM10-mittauksille vastaavuus referenssimenetelmiin osoitetaan Ilmatieteen laitoksen vertailulaboratorion vertailumittauksissa vuosina 2014-2015.	https://www.kuopio.fi/documents/7369547/7616060/Ilmanlaadun+mittausten+laatuj%C3%A4rjestelm%C3%A4n+kuvaus/1979d78f-b295-4fe5-888b-588c14776a35	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980	
17	FI.FMI.AQ	2023	NET-FI011A	JyvÃ¤skylÃ¤n verkko	UTC+02	FI00952	952	JyvÃ¤skylÃ¤ Hannikaisenkatu	SPO-FI00952_00005_100	PM10	25.7479	62.2382	82.0	m	urban	traffic	2018-08-31T00:00:00		SPO_F-FI00952_00005_100_100	4	m		m	30	m	30	m	Transport			0					JyvÃ¤skylÃ¤	open		40		0.01	20	9	40	15000	SPP-FI_A_1437_23_5			automatic	TEOM		TEOM1405D						inprogress		2	ug.m-3	Virtauksen ja K0-vakion sekÃ¤ apusuureiden lÃ¤mpÃ¶tila ja paine tarkistus jÃ¤ljitettÃ¤vÃ¤sti 2 kertaa vuodessa	https://www.kuopio.fi/documents/7369547/7616060/Ilmanlaadun+mittausten+laatuj%C3%A4rjestelm%C3%A4n+kuvaus/1979d78f-b295-4fe5-888b-588c14776a35	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
18	FI.FMI.AQ	2023	NET-FI012A	Lahden verkko	UTC+02	FI00455	455	Laune	SPO-FI00455_00005_100	PM10	25.6549	60.967	85.0	m	suburban	traffic	2002-01-01T00:00:00		SPO_F-FI00455_00005_100_100	4	m	31	m	30	m			Transport			0					Lahti	open		40					60	20000	SPP-FI_A_1481_25_5			automatic	BETA		enviroMP101M						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf				https://www.lahti.fi/asuminen-ja-ymparisto/ympariston-tila/ilmanlaatu/	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
19	FI.FMI.AQ	2023	NET-FI012A	Lahden verkko	UTC+02	FI00889	889	Saimaankatu	SPO-FI00889_00005_100	PM10	25.6658	60.9913	85.0	m	urban	traffic	2013-05-10T00:00:00		SPO_F-FI00889_00005_100_100	3	m	33	m	8	m			Transport			0					Lahti	elevated									SPP-FI_A_1479_25_5			automatic	TEOM		TEOM1400A						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf				https://www.lahti.fi/asuminen-ja-ymparisto/ympariston-tila/ilmanlaatu/	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
20	FI.FMI.AQ	2023	NET-FI013A	Turun seudun verkko	UTC+02	FI00444	444	Naantalin keskusta	SPO-FI00444_00005_100	PM10	22.0284	60.4674	14.0	m	urban	traffic	1999-01-01T00:00:00		SPO_F-FI00444_00005_100_100	3	m		m	6	m	10	m	Transport			0					Naantali	open		40			15		40	4340	SPP-FI_A_1470_8_5			automatic	BETA		enviroMP101M						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf				http://www.turku.fi/asuminen-ja-ymparisto/ymparisto/ilmanlaadun-seuranta	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
